annotation_id,mature_topic,space,rank,candidate_topic,image_path,github_image_url,topic_n_2019,topic_f_2019,topic_n_2020,topic_f_2020,topic_n_2021,topic_f_2021,topic_n_2022,topic_f_2022,topic_n_2023,topic_f_2023,ref_n_2024,ref_f_2024,score,passed_all_gates
WS0001,artificial-intelligence-of-things,problem,1,AIoT implementation challenges in smarter eco-cities,construction_v2/final_results/artificial-intelligence-of-things/problem/passed_all_gates/frequency_individual/01_aiot_implementation_challenges_in_smarter_eco-cities.png,https://raw.githubusercontent.com/rebeccaz4/weak-signal-benchmark/main/construction_v2/final_results/artificial-intelligence-of-things/problem/passed_all_gates/frequency_individual/01_aiot_implementation_challenges_in_smarter_eco-cities.png,0,0.0,0,0.0,0,0.0,0,0.0,1,0.00018198362147406734,5,0.0006472491909385113,0.0,True
WS0002,artificial-intelligence-of-things,solution,1,AI-assisted network slicing,construction_v2/final_results/artificial-intelligence-of-things/solution/passed_all_gates/frequency_individual/01_ai-assisted_network_slicing.png,https://raw.githubusercontent.com/rebeccaz4/weak-signal-benchmark/main/construction_v2/final_results/artificial-intelligence-of-things/solution/passed_all_gates/frequency_individual/01_ai-assisted_network_slicing.png,0,0.0,1,0.0003322259136212625,1,0.0002871912693854107,0,0.0,3,0.000545950864422202,8,0.001035598705501618,0.00013306008234291103,True
WS0003,artificial-intelligence-of-things,solution,4,AIoT-enabled environmental sustainability in smart eco-cities,construction_v2/final_results/artificial-intelligence-of-things/solution/passed_all_gates/frequency_individual/04_aiot-enabled_environmental_sustainability_in_smart_eco-cities.png,https://raw.githubusercontent.com/rebeccaz4/weak-signal-benchmark/main/construction_v2/final_results/artificial-intelligence-of-things/solution/passed_all_gates/frequency_individual/04_aiot-enabled_environmental_sustainability_in_smart_eco-cities.png,0,0.0,0,0.0,0,0.0,0,0.0,1,0.00018198362147406734,5,0.0006472491909385113,0.0,True
WS0004,artificial-intelligence-of-things,solution,5,Lightweight blockchain-based security for IIoT,construction_v2/final_results/artificial-intelligence-of-things/solution/passed_all_gates/frequency_individual/05_lightweight_blockchain-based_security_for_iiot.png,https://raw.githubusercontent.com/rebeccaz4/weak-signal-benchmark/main/construction_v2/final_results/artificial-intelligence-of-things/solution/passed_all_gates/frequency_individual/05_lightweight_blockchain-based_security_for_iiot.png,0,0.0,0,0.0,0,0.0,0,0.0,1,0.00018198362147406734,6,0.0007766990291262136,0.0,True
WS0005,asynchronous-federated-learning,problem,1,model staleness in asynchronous federated learning,construction_v2/final_results/asynchronous-federated-learning/problem/passed_all_gates/frequency_individual/01_model_staleness_in_asynchronous_federated_learning.png,https://raw.githubusercontent.com/rebeccaz4/weak-signal-benchmark/main/construction_v2/final_results/asynchronous-federated-learning/problem/passed_all_gates/frequency_individual/01_model_staleness_in_asynchronous_federated_learning.png,2,0.006269592476489028,2,0.004608294930875576,5,0.010309278350515464,12,0.023121387283236993,12,0.021164021164021163,28,0.04236006051437216,0.3020938343430903,True
WS0006,asynchronous-federated-learning,solution,1,staleness-aware aggregation in asynchronous federated learning,construction_v2/final_results/asynchronous-federated-learning/solution/passed_all_gates/frequency_individual/01_staleness-aware_aggregation_in_asynchronous_federated_learning.png,https://raw.githubusercontent.com/rebeccaz4/weak-signal-benchmark/main/construction_v2/final_results/asynchronous-federated-learning/solution/passed_all_gates/frequency_individual/01_staleness-aware_aggregation_in_asynchronous_federated_learning.png,0,0.0,0,0.0,7,0.01443298969072165,8,0.015414258188824663,8,0.014109347442680775,17,0.025718608169440244,0.0,True
WS0007,attention-mechanisms-in-cnn,problem,1,long-range spectral dependency modeling,construction_v2/final_results/attention-mechanisms-in-cnn/problem/passed_all_gates/frequency_individual/01_long-range_spectral_dependency_modeling.png,https://raw.githubusercontent.com/rebeccaz4/weak-signal-benchmark/main/construction_v2/final_results/attention-mechanisms-in-cnn/problem/passed_all_gates/frequency_individual/01_long-range_spectral_dependency_modeling.png,0,0.0,0,0.0,1,0.0003980891719745223,3,0.0009881422924901185,4,0.0010784578053383662,12,0.0020898641588296763,0.29307322506785144,True
WS0008,attention-mechanisms-in-cnn,problem,2,inductive bias in vision transformers,construction_v2/final_results/attention-mechanisms-in-cnn/problem/passed_all_gates/frequency_individual/02_inductive_bias_in_vision_transformers.png,https://raw.githubusercontent.com/rebeccaz4/weak-signal-benchmark/main/construction_v2/final_results/attention-mechanisms-in-cnn/problem/passed_all_gates/frequency_individual/02_inductive_bias_in_vision_transformers.png,0,0.0,0,0.0,2,0.0007961783439490446,4,0.0013175230566534915,4,0.0010784578053383662,21,0.0036572622779519333,0.031500771584716966,True
WS0009,attention-mechanisms-in-cnn,problem,3,CNN-transformer fusion,construction_v2/final_results/attention-mechanisms-in-cnn/problem/passed_all_gates/frequency_individual/03_cnn-transformer_fusion.png,https://raw.githubusercontent.com/rebeccaz4/weak-signal-benchmark/main/construction_v2/final_results/attention-mechanisms-in-cnn/problem/passed_all_gates/frequency_individual/03_cnn-transformer_fusion.png,0,0.0,0,0.0,0,0.0,0,0.0,1,0.00026961445133459155,8,0.0013932427725531174,0.0,True
WS0010,attention-mechanisms-in-cnn,solution,1,large-kernel convolutions,construction_v2/final_results/attention-mechanisms-in-cnn/solution/passed_all_gates/frequency_individual/01_large-kernel_convolutions.png,https://raw.githubusercontent.com/rebeccaz4/weak-signal-benchmark/main/construction_v2/final_results/attention-mechanisms-in-cnn/solution/passed_all_gates/frequency_individual/01_large-kernel_convolutions.png,0,0.0,0,0.0,0,0.0,1,0.00032938076416337287,2,0.0005392289026691831,7,0.0012190874259839777,0.14215549946473582,True
WS0011,attention-mechanisms-in-cnn,solution,2,linear attention mechanisms,construction_v2/final_results/attention-mechanisms-in-cnn/solution/passed_all_gates/frequency_individual/02_linear_attention_mechanisms.png,https://raw.githubusercontent.com/rebeccaz4/weak-signal-benchmark/main/construction_v2/final_results/attention-mechanisms-in-cnn/solution/passed_all_gates/frequency_individual/02_linear_attention_mechanisms.png,0,0.0,0,0.0,0,0.0,1,0.00032938076416337287,2,0.0005392289026691831,13,0.0022640195053988156,0.14215549946473582,True
WS0012,attention-mechanisms-in-cnn,solution,3,morphological attention mechanisms,construction_v2/final_results/attention-mechanisms-in-cnn/solution/passed_all_gates/frequency_individual/03_morphological_attention_mechanisms.png,https://raw.githubusercontent.com/rebeccaz4/weak-signal-benchmark/main/construction_v2/final_results/attention-mechanisms-in-cnn/solution/passed_all_gates/frequency_individual/03_morphological_attention_mechanisms.png,0,0.0,0,0.0,0,0.0,0,0.0,2,0.0005392289026691831,12,0.0020898641588296763,0.0,True
WS0013,attention-mechanisms-in-cnn,solution,4,spectral-spatial attention in transformer architectures,construction_v2/final_results/attention-mechanisms-in-cnn/solution/passed_all_gates/frequency_individual/04_spectral-spatial_attention_in_transformer_architectures.png,https://raw.githubusercontent.com/rebeccaz4/weak-signal-benchmark/main/construction_v2/final_results/attention-mechanisms-in-cnn/solution/passed_all_gates/frequency_individual/04_spectral-spatial_attention_in_transformer_architectures.png,0,0.0,0,0.0,0,0.0,0,0.0,1,0.00026961445133459155,12,0.0020898641588296763,0.0,True
WS0014,attention-mechanisms-in-cnn,solution,5,anchor-based query design in detection transformers,construction_v2/final_results/attention-mechanisms-in-cnn/solution/passed_all_gates/frequency_individual/05_anchor-based_query_design_in_detection_transformers.png,https://raw.githubusercontent.com/rebeccaz4/weak-signal-benchmark/main/construction_v2/final_results/attention-mechanisms-in-cnn/solution/passed_all_gates/frequency_individual/05_anchor-based_query_design_in_detection_transformers.png,0,0.0,0,0.0,0,0.0,1,0.00032938076416337287,1,0.00026961445133459155,5,0.0008707767328456984,0.0,True
WS0015,attention-mechanisms-in-cnn,solution,6,Swin Transformer attention,construction_v2/final_results/attention-mechanisms-in-cnn/solution/passed_all_gates/frequency_individual/06_swin_transformer_attention.png,https://raw.githubusercontent.com/rebeccaz4/weak-signal-benchmark/main/construction_v2/final_results/attention-mechanisms-in-cnn/solution/passed_all_gates/frequency_individual/06_swin_transformer_attention.png,0,0.0,0,0.0,0,0.0,0,0.0,2,0.0005392289026691831,8,0.0013932427725531174,0.0,True
WS0016,decentralized-federated-learning,problem,1,negative transfer in federated learning,construction_v2/final_results/decentralized-federated-learning/problem/passed_all_gates/frequency_individual/01_negative_transfer_in_federated_learning.png,https://raw.githubusercontent.com/rebeccaz4/weak-signal-benchmark/main/construction_v2/final_results/decentralized-federated-learning/problem/passed_all_gates/frequency_individual/01_negative_transfer_in_federated_learning.png,0,0.0,0,0.0,0,0.0,1,0.001176470588235294,2,0.001384083044982699,6,0.0028625954198473282,0.13825441067008978,True
WS0017,decentralized-federated-learning,problem,2,heterogeneity-induced convergence degradation in decentralized federated learning,construction_v2/final_results/decentralized-federated-learning/problem/passed_all_gates/frequency_individual/02_heterogeneity-induced_convergence_degradation_in_decentralized_federated_learning.png,https://raw.githubusercontent.com/rebeccaz4/weak-signal-benchmark/main/construction_v2/final_results/decentralized-federated-learning/problem/passed_all_gates/frequency_individual/02_heterogeneity-induced_convergence_degradation_in_decentralized_federated_learning.png,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0006920415224913495,6,0.0028625954198473282,0.0,True
WS0018,decentralized-federated-learning,problem,3,secure aggregation under malicious adversaries,construction_v2/final_results/decentralized-federated-learning/problem/passed_all_gates/frequency_individual/03_secure_aggregation_under_malicious_adversaries.png,https://raw.githubusercontent.com/rebeccaz4/weak-signal-benchmark/main/construction_v2/final_results/decentralized-federated-learning/problem/passed_all_gates/frequency_individual/03_secure_aggregation_under_malicious_adversaries.png,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0006920415224913495,7,0.0033396946564885495,0.0,True
WS0019,decentralized-federated-learning,problem,4,dropout-resilient secure aggregation,construction_v2/final_results/decentralized-federated-learning/problem/passed_all_gates/frequency_individual/04_dropout-resilient_secure_aggregation.png,https://raw.githubusercontent.com/rebeccaz4/weak-signal-benchmark/main/construction_v2/final_results/decentralized-federated-learning/problem/passed_all_gates/frequency_individual/04_dropout-resilient_secure_aggregation.png,0,0.0,0,0.0,0,0.0,0,0.0,2,0.001384083044982699,5,0.002385496183206107,0.0,True
WS0020,decentralized-federated-learning,solution,1,knowledge distillation in federated learning,construction_v2/final_results/decentralized-federated-learning/solution/passed_all_gates/frequency_individual/01_knowledge_distillation_in_federated_learning.png,https://raw.githubusercontent.com/rebeccaz4/weak-signal-benchmark/main/construction_v2/final_results/decentralized-federated-learning/solution/passed_all_gates/frequency_individual/01_knowledge_distillation_in_federated_learning.png,0,0.0,3,0.007772020725388601,10,0.016129032258064516,12,0.01411764705882353,18,0.01245674740484429,51,0.02433206106870229,0.04703497475664323,True
WS0021,decentralized-federated-learning,solution,3,multi-round secure aggregation,construction_v2/final_results/decentralized-federated-learning/solution/passed_all_gates/frequency_individual/03_multi-round_secure_aggregation.png,https://raw.githubusercontent.com/rebeccaz4/weak-signal-benchmark/main/construction_v2/final_results/decentralized-federated-learning/solution/passed_all_gates/frequency_individual/03_multi-round_secure_aggregation.png,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0006920415224913495,5,0.002385496183206107,0.0,True
WS0022,decentralized-federated-learning,solution,4,sharpness-aware minimization in federated learning,construction_v2/final_results/decentralized-federated-learning/solution/passed_all_gates/frequency_individual/04_sharpness-aware_minimization_in_federated_learning.png,https://raw.githubusercontent.com/rebeccaz4/weak-signal-benchmark/main/construction_v2/final_results/decentralized-federated-learning/solution/passed_all_gates/frequency_individual/04_sharpness-aware_minimization_in_federated_learning.png,0,0.0,0,0.0,0,0.0,0,0.0,2,0.001384083044982699,5,0.002385496183206107,0.0,True
WS0023,decentralized-federated-learning,solution,5,adaptive topology construction and model compression in decentralized federated learning,construction_v2/final_results/decentralized-federated-learning/solution/passed_all_gates/frequency_individual/05_adaptive_topology_construction_and_model_compression_in_decentralized_federated_learning.png,https://raw.githubusercontent.com/rebeccaz4/weak-signal-benchmark/main/construction_v2/final_results/decentralized-federated-learning/solution/passed_all_gates/frequency_individual/05_adaptive_topology_construction_and_model_compression_in_decentralized_federated_learning.png,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0006920415224913495,6,0.0028625954198473282,0.0,True
WS0024,decentralized-federated-learning,solution,6,blockchain-based secure aggregation,construction_v2/final_results/decentralized-federated-learning/solution/passed_all_gates/frequency_individual/06_blockchain-based_secure_aggregation.png,https://raw.githubusercontent.com/rebeccaz4/weak-signal-benchmark/main/construction_v2/final_results/decentralized-federated-learning/solution/passed_all_gates/frequency_individual/06_blockchain-based_secure_aggregation.png,0,0.0,0,0.0,0,0.0,0,0.0,2,0.001384083044982699,7,0.0033396946564885495,0.0,True
WS0025,epistemic-ai,problem,1,evidence grounding in AI-generated content,construction_v2/final_results/epistemic-ai/problem/passed_all_gates/frequency_individual/01_evidence_grounding_in_ai-generated_content.png,https://raw.githubusercontent.com/rebeccaz4/weak-signal-benchmark/main/construction_v2/final_results/epistemic-ai/problem/passed_all_gates/frequency_individual/01_evidence_grounding_in_ai-generated_content.png,0,0.0,0,0.0,0,0.0,0,0.0,1,0.007042253521126761,3,0.011583011583011582,0.0,True
WS0026,evolutionary-neural-architecture-search,solution,1,weight inheritance in evolutionary neural architecture search,construction_v2/final_results/evolutionary-neural-architecture-search/solution/passed_all_gates/frequency_individual/01_weight_inheritance_in_evolutionary_neural_architecture_search.png,https://raw.githubusercontent.com/rebeccaz4/weak-signal-benchmark/main/construction_v2/final_results/evolutionary-neural-architecture-search/solution/passed_all_gates/frequency_individual/01_weight_inheritance_in_evolutionary_neural_architecture_search.png,0,0.0,1,0.0036496350364963502,0,0.0,0,0.0,2,0.007518796992481203,5,0.017241379310344827,0.0001819598232860936,True
WS0027,explainable-ai,problem,1,XAI deployment challenges,construction_v2/final_results/explainable-ai/problem/passed_all_gates/frequency_individual/01_xai_deployment_challenges.png,https://raw.githubusercontent.com/rebeccaz4/weak-signal-benchmark/main/construction_v2/final_results/explainable-ai/problem/passed_all_gates/frequency_individual/01_xai_deployment_challenges.png,0,0.0,0,0.0,0,0.0,1,0.00041459369817578774,2,0.00046274872744099955,24,0.00331720801658604,0.07008914407727733,True
WS0028,explainable-ai,problem,2,XAI explanation quality assessment,construction_v2/final_results/explainable-ai/problem/passed_all_gates/frequency_individual/02_xai_explanation_quality_assessment.png,https://raw.githubusercontent.com/rebeccaz4/weak-signal-benchmark/main/construction_v2/final_results/explainable-ai/problem/passed_all_gates/frequency_individual/02_xai_explanation_quality_assessment.png,0,0.0,0,0.0,0,0.0,1,0.00041459369817578774,2,0.00046274872744099955,6,0.00082930200414651,0.07008914407727733,True
